Date,Open,High,Low,Close,Volume
20150219,0.33,0.33,225,244,46.27631267
20150220,240.25011809,245,240.25,240.25,55.894897
20150221,245,245,245,245,14.72223865
20150222,245,249,235,235,129.12124785
20150223,235.00000236,235.001,235,235,96.56756248
20150224,235,239.75,235,239.75,149.15439319
20150225,239.75,239.75,237.75,237.75,221.58409525
20150226,237.75,239.79999999,237.75,238.5,0.15548793
20150227,238.49999999,249,238.49999999,249,383.75542307
20150228,240,251,240,240.00006025,17.14733576
20150301,240.0001205,251,240.0001205,251,0.31771523
20150302,252,269,251,269,98.06380478
20150303,268,274.5,255,267.21999999,442.98306981
20150304,258.87499998,280.00000001,258.87499998,280,245.88902268
20150305,257,280.89,257,257.00012,117.44068512
20150306,269.00014063,271.00199999,260,260,84.1979488
20150307,260.00000522,260.00000522,260.00000522,260.00000522,0.1819948
20150308,265,275.002,260.000031,260.00003101,30.90034888
20150309,260.00003101,285,260.00003101,264.00000533,128.36703757
20150310,264.00006385,291,264.00006385,291,54.9617595
20150311,279.00010602,292.95011129,276.00000001,276.00000001,42.51193654
20150312,289.00010602,289.00010602,276,276.00000112,2.90989245
20150313,276.00000111,300.99999959,275.11000009,275.11000009,57.61315621
20150314,275.1100001,275.1100001,275.1,275.10000036,48.31005732
20150315,275.10000036,282.10800036,275.1,282.10800036,29.45410779
20150316,300.9999995,300.9999995,275,275,25.56468549
20150317,275.00000003,275.00000003,275.00000003,275.00000003,0.00903375
20150318,275.00000009,282.00000001,262.09000001,262.09000001,164.91127158
20150319,267.01000006,267.01000006,248.82158047,264.84631516,713.90420443
20150320,254.89895127,267.97667574,254.82343263,263.56083094,132.72576304
20150321,263.56083094,263.56083094,254.69135706,263.19298262,201.15512365
20150322,265.13784797,267.51684843,263.77341,267.51684843,64.37844695
20150323,270.32946018,274.29809789,260.67351138,260.67351138,61.85038999
20150324,263.01895538,271.59604827,242.5255,242.52550736,490.1802634
20150325,272.99999999,273,247.47551488,247.47551488,90.86237357
20150326,251.36855193,251.36855193,242.5255,242.5255,2.29937799
20150327,253.22011045,253.3527,242.91750001,253.3527,0.66353649
20150328,243.68190247,258.88067929,243.6819,248.72849578,7.06152934
20150329,252.0705,252.0705,247.96933001,247.96933001,8.52654866
20150330,242.52550001,254.35279355,242.52550001,254.35279355,29.65461869
20150331,253.5414,253.7301,242.5255,249.33852966,28.4810826
20150401,239.87000019,250,239.87000019,249,14.48312746
20150402,245.47586455,255,229.00000001,255,62.12227939
20150403,253.5,255,253.5,255,27.37145069
20150404,252.58700541,254.42717667,248.9973997,254.42717667,184.24982176
20150405,252.07634469,262.66977114,252.07634469,254.69622183,125.3818785
20150406,254.69622183,254.69622183,254.69622183,254.69622183,0
20150407,253.88325,257.80755,252.10286502,253.116,366.91079197
20150408,251.4816875,268,245.691,248.28703147,396.66497159
20150409,245.55949496,269,240.88000001,269,910.71756702
20150410,243.55500001,249.89999998,99.00000007,236.195,447.02395048
20150411,233.1575,249.89999997,230.10000001,234.8725,2872.85547934
20150412,234.8725,235.735,230.10000001,232.05,1952.86838181
20150413,232.05,245.99999999,230.10000001,245.99999987,91.93343856
20150414,234.000076,234.000076,213.7184,219.90926541,373.40081642
20150415,219.90926541,225.1395,217.69520791,225.1293,100.65758018
20150416,226.26174864,229.57789808,221.29080708,229.57789808,266.68959913
20150417,224.7876,226.62358212,222.9346875,223.48807719,45.82083968
20150418,221.65615001,221.65615001,221.5,221.5,44.30036632
20150419,225.5,225.5,223.57789808,223.57789808,21.87361402
20150420,223.57789808,229.5051,223.57789808,223.57789808,13.07389511
20150421,223.57789808,233,223.57789808,229.7512,31.42439658
20150422,238.374,238.374,230.5666,230.5666,36.92635588
20150423,230.5666,238.374,229.6777,231.55429753,70.24516087
20150424,231.6475,235.49749476,223.57789808,235.0896,1.94459737
20150425,223.57789808,233.0649,223.57789808,223.57789808,1.4623462
20150426,223.57789808,223.57789808,206.56436228,212.1681,555.12722339
20150427,219.00999999,219.01,214.2427,219.01,390.55060327
20150428,227,227,227,227,0.05964652
20150429,227,227,227,227,4.99999961
20150430,227,255,227,241.997374,389.75127612
20150501,241.997374,243.432375,233.1665,233.1665,26.83685811
20150502,235,235,235,235,3.538395
20150503,235,239.4042,235,239.4042,92.86170078
20150504,235.52829126,239.4042,233.99829863,233.99829863,48.37681151
20150505,233.1763,233.1763,229.6875,231.0154,1.16104856
20150506,229.7414,240,225,225,0.26766011
20150507,226,226,225,225,0.06254532
20150508,240,249.53240001,240,249.53240001,29.08440758
20150509,239.806,249.53240001,238.5565,238.5565,115.36779752
20150510,246.25,246.25,246.25,246.25,0.464723
20150511,225,246.25,225,241.1937,133.68748296
20150512,239.07113593,244.90444044,239.07113593,244.90444044,5.19530753
20150513,239.39988755,239.39988755,239.39988755,239.39988755,0.10212799
20150514,240.77139588,249.53240001,236.01,243.26620001,318.9187259
20150515,243.26620001,254,237.005,243.31250001,34.76105879
20150516,244,252.99999999,243.31250001,243.5,115.80995806
20150517,243.5,249.99999999,243.31250001,243.31250001,44.42495523
20150518,240.5,245.5,235.00000001,242.42424242,31.34106169
20150519,242.00000017,260,230.5,243.99999999,20339.31806626
20150520,240.00000001,243.99999999,232.00000002,232.52023435,21723.68279538
20150521,233.14749997,233.14749997,230.83999767,232.52549999,9008.53353363
20150522,232.52549999,237.40539423,232.52549999,236.50775007,69.01840017
20150523,239.99999999,242,235.6075675,241.78343249,26.57979491
20150524,241.95,243,235.65603177,243,32.50679829
20150525,236.92205,242,234.15866811,234.947125,23.09186949
20150526,240,241.6212575,234.326575,235.32585376,72.35565596
20150527,235.66789119,241,235.66789119,239.8186175,10.55710102
20150528,240,241.72665748,236.913,237.7,271.72154245
20150529,238.51,243,237.34458299,237.35460214,142.42675822
20150530,237.35466667,237.99999999,234.326575,234.326575,10.13073056
20150531,234.326575,240.99999999,233.00000001,233.00000001,37.80401453
20150601,233.00000001,239.9799959,231.33781455,231.33781455,75.92108586
20150602,230.83999762,234.99999967,223,232.9999998,157.29018026
20150603,225.00000354,232.99999995,224.00000001,232.99999995,64.01656863
20150604,229,229,225,225,13.93599046
20150605,225.00000001,229,225.00000001,229,8.14584367
20150606,224.00001675,227.00000008,224.00001675,226.99999844,23.68322609
20150607,226.99999843,243.00000001,225,230,282.74741483
20150608,226.00000001,229.999999,226.00000001,229.999999,4.62412547
20150609,235,237,230,230,48.57459771
20150610,237,238,230,237,136.51135673
20150611,229,239.99899992,229,239.99899992,21.77331682
20150612,229.5,239.99899992,229,230,12.05289186
20150613,239.99898999,239.99899992,231.00000001,239.99899992,44.03222386
20150614,232.50000001,239,232.50000001,239,1.57189746
20150615,234.00000001,237.49999999,234.00000001,237,59.97970517
20150616,237,241.80000001,234.32,234.32,95.7334639
20150617,234.32,250,234.32,250,357.92998908
20150618,245,254,245,252.76067842,268.48433653
20150619,250,256.64346013,243.0141492,249.99999989,913.00284734
20150620,244.93383776,249.99999989,238.00000001,241.704225,413.73278585
20150621,240.197175,246.49999999,238.74611776,246.49999999,198.26959477
20150622,246.49999999,250.95562501,243.18145623,245,270.64727355
20150623,249,249,244,244,17.84842109
20150624,246.7871,247.85175,233.79446564,237.14437355,2044.6173318
20150625,238.63595,245.49772898,238.63595,244.25750294,265.99415173
20150626,244.00000245,244.8,239,244.8,35.3613774
20150627,240.00000241,250,240.0000024,250,170.1315464
20150628,245,249.98999999,245,249.98999999,0.59480794
20150629,249.98999999,255.67500001,246.90192338,255.66999999,62.7340424
20150630,255.41815473,263.8815,255.17352623,259.365275,206.41433163
20150701,259,263.05759894,253.65851835,263.05759894,289.88160875
20150702,255.83983613,256.92304903,255,255,31.04867242
20150703,255,256.22301049,255,256.22301049,19.14722713
20150704,256.22301049,257,253.48779475,257,92.01619297
20150705,257.5,276.58553125,254.53392093,266.99,403.89512783
20150706,270,300.9999993,266,268.03348967,358.56788491
20150707,265.24512018,267.65000001,262.89154266,262.89154266,92.56543244
20150708,267,276.46321919,263.482575,270.00000001,368.42765109
20150709,270.58884859,270.5888486,265.77514014,267.1,288.7726741
20150710,270.09999999,289.32575,270.09999999,286,822.37743056
20150711,265.41403,298.25850978,265.41403,290.00000001,522.02955941
20150712,298.60792499,312.24054041,296.10649522,312,825.14478181
20150713,307.00000001,307.00000001,270.00000001,288.88888699,1000.27753806
20150714,288.888887,292.84749999,288.88888699,288.888887,76.58335418
20150715,292.84749999,292.8475,283.32791599,283.32791599,278.76282758
20150716,280.233,292.8475,280.233,281.43066515,510.18357931
20150717,281.43066515,281.43066515,274.74360024,280.134925,268.20186227
20150718,275.568525,275.57345,274.24387431,275.519275,29.80335682
20150719,281.45442499,281.454425,272.90902501,277.99999883,108.53770902
20150720,277.99999883,282.49798267,274.14820466,281.9264,273.78471774
20150721,282.54083484,285.99878125,279.1,279.86050498,327.67267473
20150722,278.00000001,282.794225,278.00000001,278.00000001,485.10670976
20150723,278.00000449,278.00000449,278,278,51.5790752
20150724,278,284,278,284,167.5047101
20150725,283.75387501,294.16835476,283.75387501,283.93117501,211.14607554
20150726,293.92369999,293.92369999,286.90364013,288.05340001,3.26348367
20150727,285.40000001,293.19131973,284.866925,293.19131973,256.06094625
20150728,293.10620822,294.38714898,290.35343548,291.45133763,80.50339422
20150729,294.07110119,299.4672167,291.45133763,295.14679126,428.81935555
20150730,292.36183522,293.39719705,284,284.61055662,239.13508551
20150731,284,287.88215399,284,285.049,29.23487883
20150801,284.00000001,284.00000001,275.7245078,279.84502254,301.37639242
20150802,280,286.438075,280,286.438075,106.5638591
20150803,285.4383,288.96564431,284.28627499,288.96564431,75.70679403
20150804,281.10448572,288,281.10448572,288,11.94721831
20150805,288.19999998,288.965425,279.79331405,287.5698,9.29752713
20150806,279.79331405,283.738175,275.637475,283.738175,167.08972647
20150807,277.22849063,277.22849063,275.9225,275.9225,62.18237138
20150808,280.99991008,282.235975,262.64762661,263,1032.69471792
20150809,263,269.75811042,262.101,268.86343705,410.00762714
20150810,266.21932357,266.21932357,262.1,266.21932357,9.52216239
20150811,266.21932357,269.25604587,261.60615343,269.25604587,247.49436684
20150812,269.25604587,275.6263664,263.32859493,265.413175,682.18727975
20150813,263.39255361,269.87728091,260,263,838.98645622
20150814,260.143425,265,255,265,556.22575402
20150815,265,267,258.27685,258.27685,147.73850257
20150816,257.89777067,264.818575,256.76429583,256.76429583,247.33524901
20150817,257.00000516,263.884775,257.00000516,262.37255219,115.70648577
20150818,262.38059156,262.38059156,174.57013394,178.7193125,2979.91680061
20150819,191.29999999,241.876825,191.29999999,226.99999929,5214.46440764
20150820,226.99999785,241.75778125,226.99999785,234,1900.49598303
20150821,229.65637733,242.0500026,228,233.13000186,2623.03047514
20150822,233.13000271,285,225,230.25950309,1097.99004162
20150823,230.25950309,236.14959975,226.43859881,228.4526468,369.92537078
20150824,228.4526468,236.99999909,201.45752417,211,6440.35548189
20150825,214.965,219.99000003,197.57400001,219.99000003,5064.27486289
20150826,219.99000003,227.99000003,216.15825722,227.97999999,1337.59870511
20150827,222.00000001,229.19941841,208.3,219.99999999,1607.02008258
20150828,215.4287159,233.99000003,212.183456,230.14,306.69311794
20150829,232,235,220,235,925.51764615
20150830,226.90000001,226.90000001,211.01100212,215.025,973.41945106
20150831,215.00000001,226.9,211,225.04000001,624.09319036
20150901,226.11789796,229.5,223.32478814,223.94469998,995.59920308
20150902,226,232.99999999,222.28830581,226.00000001,391.79088737
20150903,226.00000001,232.67213551,224.35971855,231.00000001,163.11990688
20150904,225.00000001,231.00000001,225.00000001,231.00000001,272.20435639
20150905,231.00000001,238.99000003,226.54264212,233.00000001,1058.47759632
20150906,233.00000001,243.22733484,233.00000001,237.7529,746.77449908
20150907,241.4,245,236.5,244.9,1928.74056669
20150908,243.5,243.5,239.90000002,239.90000002,27.7990218
20150909,242.99999999,243,236.5,240.59999943,772.01918011
20150910,240.59999866,243.83099999,236.50000001,243.83099999,172.41081462
20150911,236.60000033,255.00000001,236.37099997,238.70000001,1385.38482169
20150912,238.70000001,244.90709278,236.61000002,240,696.20053029
20150913,237.60200001,237.60200001,226.5,226.5,487.20956036
20150914,233.97779999,233.97779999,226.50000021,228.50000008,201.70637489
20150915,228.50000286,232.9999994,228.50000285,232.99999594,120.33838143
20150916,232.99999594,233.47357311,230.00003003,230.00003006,41.9559744
20150917,231.47357312,235.68915619,231.47357312,232.50000003,99.69752976
20150918,232.70000005,238.26400001,232.50000051,238.26400001,61.31583346
20150919,233.50000101,235.8,231.47357311,234.47,177.84208562
20150920,234.47,234.47,231.47357312,234.47,67.14402084
20150921,233.00000001,233.00000001,227.16978664,227.49998999,374.66359751
20150922,227.49998999,232.49999989,225.91,226.516353,637.70344267
20150923,227.5413,232.4999999,227.5413,228,77.82579095
20150924,230.30000001,235,228,235,619.6479114
20150925,235.52,238.26400001,232.01000001,238,210.62325746
20150926,238,238.00000001,232.5,233.000001,115.85075894
20150927,233.000007,237.09999999,233.000007,233.00050075,28.9457349
20150928,237.09998269,243.493875,232,243.19999998,8239.10441721
20150929,243.19999999,245.4999,234.68665,242,6796.32023097
20150930,242.14,245.4,233.000001,238.00000001,680.52383966
20151001,236.00000001,242.69999999,236,242.69999999,244.76810362
20151002,242.3,243.5403,236.20001,240,458.57828883
20151003,241.67548782,242.999,237.99,242.979,30.56132704
20151004,238.16725533,242.979,237.99,242.969,53.28731742
20151005,238.8,242.969,236.97900001,236.98,131.76992734
20151006,238.0878687,249.76639999,236.98000001,242.25,520.03352388
20151007,242.25,252.38676,241,243.00000001,586.72694405
20151008,248.49999932,248.49999932,242.06,242.30000243,262.51352771
20151009,246.89,246.89,242,244.00000001,443.07583373
20151010,246.4,246.5,242.40020005,243.1,101.51466383
20151011,243.1,248.28210623,243.1,248.28210592,950.06038715
20151012,243.5092607,248.37944518,243.5092607,244.6001001,195.01732935
20151013,244.6001001,250.39999882,244.6001001,248.47210201,280.83323319
20151014,250.38777646,257.26208372,247.15829748,252.29997287,736.39530531
20151015,253.99999995,262.66813468,251.02606982,259.2432,1223.80879756
20151016,259.50329999,266.08098303,254.00954551,266.08098303,796.79748632
20151017,266,277.6389,261,267.04218175,699.356047
20151018,272.99999996,272.99999996,261,269.99999999,1209.76779022
20151019,261.50000001,269.99999999,261.50000001,263.00000023,205.73973397
20151020,267.44400081,275.5,262.00000001,275.49999,1011.0685634
20151021,275.49999,275.49999,261.9246,266.30000001,2331.3783515
20151022,266.30000001,276.14700001,261,276.14699996,2238.98496921
20151023,270.31000003,284.29949888,270.31000003,277.86212966,917.39832526
20151024,278.49899517,283.92550526,278.49899517,280.00001,435.87485692
20151025,283.05999998,298.73999999,281.60227631,287.85000016,4739.14131151
20151026,287.85000018,291.01634988,279,281.49999999,3372.45297058
20151027,281.59999999,298.5,281,297.49999395,5466.31294789
20151028,297.69996256,307.75,281.01633477,295.19768986,6478.98043305
20151029,295.5,314.6753,293.31363296,312.59999894,7229.67027246
20151030,312.59999894,326.87000009,307.1,326.87000009,15426.06825397
20151031,326.8700001,332,306.45969915,310.00000001,9455.35534492
20151101,312.08011732,328.96200408,312.08011732,326.74446166,1128.35413233
20151102,326.744471,370.02602501,320.366901,369.02958148,10188.31647562
20151103,366.1,424,355.87499999,400,28008.4737616
20151104,399.99,477,359.48965566,393,50090.55955153
20151105,393,416.05800073,366.71097058,383.09999996,22723.78031612
20151106,382.50000001,398.88888888,350,379,15753.9061563
20151107,367.30009891,397.3333333,367.30009891,390.99999994,14135.54767876
20151108,384.500001,389.35,369,371.00000001,3371.05062955
20151109,371.00006667,387.9099995,362.99999999,384.55,11796.61678413
20151110,382.51554957,385.63229092,327.70000002,335.20014911,13633.17558794
20151111,335.20014905,341,303.33311004,313.13,24073.00331861
20151112,313.13,343.29180826,308.99607256,339,8966.00556231
20151113,339,343.10639329,325.00000001,339.01194,6071.59637035
20151114,336.99999899,340.19,332.2,340.19,3876.89106148
20151115,340.18999999,341.1,318,318,27998.28341889
20151116,318,336.00400001,318,332,3587.00092425
20151117,334.99999222,340,331,334.01010403,5314.08033778
20151118,338.49998933,341.77699995,334,336.31001221,3288.34249066
20151119,336.31001223,337.89998789,320.10000001,328.999999,5716.69682478
20151120,332.949999,332.95,317.99999999,327.50000001,5201.18951038
20151121,323.49999999,335.34000003,323,328.79999999,4224.14769499
20151122,325.5000414,334.68999999,323.1,331.9,3956.72574788
20151123,328.75,334.69,324.00004591,325.47,415.49691086
20151124,329.99,329.99,321,321,5114.09038296
20151125,327.9998999,329,318.10010001,326.99,4363.41308284
20151126,328.989999,366.95586085,326.99047556,355.10127219,12795.53470417
20151127,355.10130018,378.888888,349.00000605,361.99995456,5368.60568671
20151128,361.99995456,364,354.00000001,356,8422.3282943
20151129,357.100001,378.888888,356.50014836,375.00000004,2090.20380147
20151130,375,385.00000001,371.99999999,379.49999999,4270.35881246
20151201,379.39999999,379.39999999,355,364,6039.86433605
20151202,356.450002,366.36659,353.525125,365.65493181,3623.81496124
20151203,365.46090835,375,356.00000801,366.99999998,2682.53387575
20151204,364.99999941,366,355.12278158,365.51,4006.18956686
20151205,365.49,392.265,360.12706417,380.45053057,14923.9584081
20151206,389.99999944,400.00000001,380.99663008,390.30007076,9688.91212093
20151207,397.99999989,403.00000001,388.00009037,394.20032806,6553.67471525
20151208,398.5,418.5542986,392.20000001,418.5542986,8458.64850158
20151209,413.00000018,428.99999997,404.48417735,421.9999999,14490.17812562
20151210,420.51425536,425.17679999,410.000021,425.17679999,5793.98207009
20151211,420.00000027,456.65800001,418.63267478,452.70000009,22657.15254636
20151212,445.79596711,468,405.66284539,430.15422975,24374.04001909
20151213,427.86722266,444.99999993,423.25,433.00000202,8316.76869106
20151214,433.04088808,449.49498,431.00007782,443.09999999,4180.87865293
20151215,443.00000009,465.15045069,442.99999993,465.15045061,15161.60372743
20151216,465.15045049,468.49999999,445,453.000001,10825.19994283
20151217,455.99999999,457.9999,451,453.500001,1346.45368139
20151218,453.500001,465,453.000001,460,5049.65580533
20151219,458.000001,466.929,452.130001,460,11513.43735268
20151220,456.81643452,460,431.01,438.10101011,11042.25379025
20151221,443.09925,443.0999999,426,439.7999,11583.495905
20151222,432.2589971,439.83131689,432.2589971,434.84381765,6790.83811122
20151223,434.00000001,446,434,445.67999996,2590.72813707
20151224,445.67999,464.88566999,441.52188074,453.06292574,5436.33844866
20151225,453.0630166,459.39999999,450,455,1783.49667733
20151226,455.99999989,460.999999,409.000166,418.53822857,11361.05410045
20151227,420.95017872,429.68242294,412.32,421.24000002,5994.61615054
20151228,423.08,431.69037499,417.00000001,423.59556697,3195.21888091
20151229,421.1,437.0783412,421.1,427.00000001,3568.15835775
20151230,433.2,434.07,420,425.12,3505.68330624
20151231,424.27,430.57315002,417,430.57315002,2539.67580514
20160101,428.26000202,435,428.26000202,434.98999999,2975.02694268
20160102,434.98999999,438.13999999,430.5,436.9499,944.85328936
20160103,432.31,435.61499822,426.45308869,428.14,683.91847
20160104,427.29114142,435.999999,427.29114042,432.00001111,724.97600445
20160105,430.14021095,435.999999,429.5695,430.37677352,427.64728309
20160106,430.17047263,434.99999973,427.290001,427.50002018,819.34482713
20160107,427.50057343,458.89700208,427.50057343,458.89700208,10706.24231174
20160108,451.10001118,468,446.99999999,453.05,5912.94840652
20160109,453.05,457.3980537,447.00037915,447.420001,1879.48546964
20160110,447.420001,453.02999998,440.02000706,450.72851988,9116.86086338
20160111,448.77,455.66999999,444.89,447,7224.81225238
20160112,448.08324386,448.62,434.07784163,434.4962313,7525.82848928
20160113,433.4962313,439.69999998,424.001,433.68500408,9072.75886437
20160114,428.53476603,434.99999999,424,429.49640246,2267.46968672
20160115,428.88954001,429.49640246,358.000006,362,27192.75979869
20160116,357,387.99999999,333.6,386.4618669,19523.98472643
20160117,386.46186691,394.1,369.71695546,370,13842.4998052
20160118,371.44223035,399.94999999,367.11112952,388,22196.01999022
20160119,393.89998999,395,376.73464414,378.50200171,8779.08855613
20160120,379.502007,422.88270948,377.4225,422.88270948,15387.14149928
20160121,418.00000397,420.42999999,401.43089234,406.0000001,6751.03616056
20160122,405.0000003,413.26513434,375,380.97271858,6756.02213209
20160123,378.02890176,404.36071952,378.02890176,389.94000001,13328.05830136
20160124,385.00000003,407.91799999,378.80930001,402.85787573,10516.92480948
20160125,404.82937107,406.80087625,384.90950034,391.17000081,18108.31186502
20160126,390.26000002,399.65700001,384.90950034,395.11999999,15647.27354435
20160127,387.79,401.17609864,384.332,396,12979.7346639
20160128,391.19000101,391.19000101,374.68813274,378.0000001,11050.97176019
20160129,376.98,381.0000001,357.59046709,376.8600002,12980.18192613
20160130,378.94281121,380.5,371.2,378.66999987,1781.19602242
20160131,380.22999999,380.5,362.60000001,367.33999995,8407.72255208
20160201,367.33999991,380.09999995,360.5,370.45,13509.41891094
20160202,376.09,377.7777777,368.67145259,368.6900001,5604.44787387
20160203,368.81387894,373,351.8881965,358.52,9004.93684017
20160204,360.00002945,389.59999999,358.51,389.59999999,17028.530682
20160205,385.7773098,397.97511686,380.3530589,385.98899663,22708.10009319
20160206,388.18962933,388.18962933,371,377.63999823,15583.53414189
20160207,376.96999674,381.67419373,368.99999823,372.99999916,15932.59275596
20160208,372.99999916,379.00999997,369.09999999,369.65447893,6479.48321648
20160209,373.21999972,380.49,369.65451242,376.71518383,20723.32240604
20160210,376.98829552,385,364.1000001,382.97999999,37846.45175219
20160211,382.98,388.254,371.00000001,387.95,21454.516881
20160212,378.34879972,415.01869658,320,385,56849.66494514
20160213,384.31,397.99999998,380.31135223,391.98999996,44799.38904767
20160214,391.98999996,406.00000681,390.01050005,404.88887998,29671.13864735
20160215,398.00001134,408.7,397.59,403.8416231,40996.12487407
20160216,399.00000362,412.79999999,399.00000352,408.00000009,26228.93154111
20160217,411.49999999,426,399.55,413.50000048,48770.63843345
20160218,413.50000535,424.76999998,411,418.10000823,34912.88661748
20160219,420,424.8,413.00000001,417.00000354,14617.06581747
20160220,416.001,440,416.001,436.5100001,37972.04766773
20160221,436.99999009,445,420.48999982,441.00000442,35817.96966889
20160222,441.00000442,441.00000442,429.17,440,23594.55422733
20160223,440,440.00000001,413.42,416.10000178,60429.45297098
20160224,416.10000178,425.09999896,405.99500043,409.45245,39025.54904354
20160225,409.453,425.70181751,384.02000001,422.999999,77657.33776091
20160226,420,432.48000001,411.88900001,432.48000001,37088.59457624
20160227,429.00000552,434.99999,421.00100001,425.52,18908.51511429
20160228,430,439.44,380.99999,432.84999997,71879.58639651
20160229,431.55004679,441.30464888,431.55004679,436.1,30212.28504225
20160301,440,442.89999999,424.73000001,434.00000001,53433.06313699
20160302,432.3700057,438.9999999,422.13646503,425.98623253,35872.40546759
